Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2023-09-08 17:49:50,"Pull",1h 7m,"Pull Up",1,0,5.0,0,0.0,"","",
2023-09-08 17:49:50,"Pull",1h 7m,"Pull Up",2,0,4.0,0,0.0,,,
2023-09-08 17:49:50,"Pull",1h 7m,"Pull Up",3,0,3.0,0,0.0,,,
2023-09-08 17:49:50,"Pull",1h 7m,"Lat Pulldown (Cable)",1,5.0,10.0,0,0.0,"",,
2023-09-08 17:49:50,"Pull",1h 7m,"Lat Pulldown (Cable)",2,6.0,10.0,0,0.0,,,
2023-09-08 17:49:50,"Pull",1h 7m,"Lat Pulldown (Cable)",3,7.0,8.0,0,0.0,,,
2023-09-08 17:49:50,"Pull",1h 7m,"Seated Row (Cable)",1,55.0,10.0,0,0.0,"",,
2023-09-08 17:49:50,"Pull",1h 7m,"Seated Row (Cable)",2,70.0,10.0,0,0.0,,,
2023-09-08 17:49:50,"Pull",1h 7m,"Seated Row (Cable)",3,70.0,10.0,0,0.0,,,
2023-09-08 17:49:50,"Pull",1h 7m,"Face Pull (Cable)",1,25.0,10.0,0,0.0,"",,
2023-09-08 17:49:50,"Pull",1h 7m,"Face Pull (Cable)",2,40.0,10.0,0,0.0,,,
2023-09-08 17:49:50,"Pull",1h 7m,"Face Pull (Cable)",3,45.0,10.0,0,0.0,,,
2023-09-08 17:49:50,"Pull",1h 7m,"Bicep Curl (Barbell)",1,5.0,10.0,0,0.0,"",,
2023-09-08 17:49:50,"Pull",1h 7m,"Bicep Curl (Barbell)",2,6.25,10.0,0,0.0,,,
2023-09-08 17:49:50,"Pull",1h 7m,"Bicep Curl (Barbell)",3,6.25,10.0,0,0.0,,,
2023-09-08 17:49:50,"Pull",1h 7m,"Incline Curl (Dumbbell)",1,5.0,10.0,0,0.0,"should i keep my wrist facing front always or rotate?",,
2023-09-08 17:49:50,"Pull",1h 7m,"Incline Curl (Dumbbell)",2,7.5,10.0,0,0.0,,,
2023-09-08 17:49:50,"Pull",1h 7m,"Incline Curl (Dumbbell)",3,7.5,6.0,0,0.0,,,
2023-09-08 17:49:50,"Pull",1h 7m,"Seated Palms Up Wrist Curl (Dumbbell)",1,7.5,10.0,0,0.0,"",,
2023-09-08 17:49:50,"Pull",1h 7m,"Seated Palms Up Wrist Curl (Dumbbell)",2,12.5,10.0,0,0.0,,,
2023-09-08 17:49:50,"Pull",1h 7m,"Seated Palms Up Wrist Curl (Dumbbell)",3,12.5,10.0,0,0.0,,,
2023-09-08 17:49:50,"Pull",1h 7m,"Seated Palms Up Wrist Curl (Dumbbell)",1,3.0,10.0,0,0.0,"wrist faced down",,
2023-09-08 17:49:50,"Pull",1h 7m,"Seated Palms Up Wrist Curl (Dumbbell)",2,5.0,10.0,0,0.0,,,
2023-09-08 17:49:50,"Pull",1h 7m,"Seated Palms Up Wrist Curl (Dumbbell)",3,5.0,10.0,0,0.0,,,
2023-09-12 17:08:26,"Push",1h 40m,"Bench Press (Barbell)",1,12.5,10.0,0,0.0,"","",
2023-09-12 17:08:26,"Push",1h 40m,"Bench Press (Barbell)",2,15.0,10.0,0,0.0,,,
