set_index,exercise,weight,reps,start,end,duration_s,avg_hr,max_hr,hr_samples
0,Lateral Raise,10.0,10,2025-12-03 12:03:53,2025-12-03 12:05:02.961,69.961,128.02631578947367,136.0,38
1,Lateral Raise,10.0,10,2025-12-03 12:05:11,2025-12-03 12:07:38.706,147.706,114.77631578947368,123.0,76
2,Lever Leg Extension,45.0,10,2025-12-03 12:09:09,2025-12-03 12:10:19.923,70.923,108.34210526315789,138.0,38
3,Lever Leg Extension,90.0,10,2025-12-03 12:14:47,2025-12-03 12:15:38.202,51.202,100.91176470588235,117.0,34
4,Lever Leg Extension,90.0,10,2025-12-03 12:19:55,2025-12-03 12:20:35.398,40.398,112.30434782608695,124.0,23
5,Lever Seated Reverse Fly,15.0,10,2025-12-03 12:24:14,2025-12-03 12:26:57.278,163.278,119.28571428571429,145.0,105
6,Lever Seated Reverse Fly,15.0,10,2025-12-03 12:29:50,2025-12-03 12:32:14.054,144.054,124.32926829268293,139.0,82
7,Lever Seated Reverse Fly,15.0,10,2025-12-03 12:37:28,2025-12-03 12:38:38.178,70.178,105.82608695652173,139.0,46
8,One arm Wrist Curl,12.5,10,2025-12-03 12:43:13,2025-12-03 12:44:11.162,58.162,116.60714285714286,122.0,28
9,One arm Wrist Curl,17.5,10,2025-12-03 12:46:25,2025-12-03 12:47:29.569,64.569,110.78787878787878,119.0,33
10,One arm Revers Wrist Curl,5.0,10,2025-12-03 12:50:34,2025-12-03 12:51:21.655,47.655,108.6842105263158,113.0,19
11,One arm Revers Wrist Curl,7.5,10,2025-12-03 12:53:55,2025-12-03 12:55:01.060,66.06,110.25,120.0,32
12,Lateral Raise,10.0,10,2025-12-03 12:59:24,2025-12-03 13:01:16.065,112.065,110.26470588235294,122.0,68
13,Lateral Raise,10.0,12,2025-12-03 13:05:39,2025-12-03 13:07:22.512,103.512,115.28125,127.0,64
